ClipNumber,Dialogue,Speaker,Recipient,RecipientType
4,"First sign of weakness we've seen from Alicia on this. Fight, guys. It's all about this right here. That sound around your neck. It means you're in this game a little longer. It means you've got a one-in-six shot at a million bucks. Somebody gonna leave here with this. The person who wants it the most. Fight it, guys, fight it. Oh! Whew! I got a little of that too!",Probst,Tribe,
4,"All right I'm glad. At least if I went down, I took you with me.",Alicia,Probst,One Person
4,I couldn't be happier.,Probst,Alicia,
4,"Keep your arm up, Rupert. Keep your arm up.",ShiiAnn,Rupert,One Person
4,I'm damn straight trying.,Rupert,ShiiAnn,A Group
4,"And then there were three. All three looking really strong. A little bit of rain starting to come down, cool you off a little. Wouldn't be a day on Survivor All-Stars if we didn't get a little rain. Immunity is most definitely up for grabs. Three people left. Anybody could get it.",Probst,Tribe,
4,"ShiiAnn, I have to say, one hour in, you have not moved. Your body has not moved, your arm has not dipped.",Probst,ShiiAnn,
4,I'm not moving.,ShiiAnn,Tribe,A Group
4,I don't think you've taken your hand off your hip.,Probst,ShiiAnn,
4,"Nope. It's numb, but I need this immunity, like I said, Jeff, desperately.",ShiiAnn,Probst,
4,ShiiAnn you are tough.,Rupert,ShiiAnn,One Person
4,"Dude, I'm going to win.",ShiiAnn,Rupert,One Person
5,"Boston Rob's out of the competition. Next door neighbors Rupert and ShiiAnn still fighting for immunity. Since it's just down to you two, a little reminder: Somebody's gonna leave here with this around their neck. That means they are safe tonight at the vote. The other person will not have that same security.",Probst,Tribe,
5,"Rupert, stay up there.",Rob,Rupert,One Person
5,"You got this, Rupert.",Jenna,Rupert,One Person
5,"You guys have lasted two hours. Two long, painful hours.",Probst,Tribe,
5,"How much more you got left in you, Rupert?",Probst,Rupert,
5,Two hours...four hours...I don't know. Whatever it takes.,Rupert,Probst,A Group
5,"ShiiAnn, any sign of quitting in you?",Probst,ShiiAnn,
5,Nope.,ShiiAnn,Probst,A Group
5,"Careful, Rupert you're moving it a lot. You're moving the chain.",Jenna,Rupert,One Person
5,Yes! Yes! Yes!,ShiiAnn,Tribe,A Group
5,Rupert's out of the competition. ShiiAnn wins immunity.,Probst,Tribe,
5,Whoo! Whoo! Yeah! Take that!,ShiiAnn,Tribe,A Group
5,"Don't forget, you got to go home with us, ShiiAnn. Be very careful, sweetheart.",Alicia,ShiiAnn,One Person
5,"Hey, you know what? I love you guys, but I need this more than all of you guys.",ShiiAnn,Tribe,A Group
5,"Yeah, don't get too cocky though. You got to live with us.",Alicia,ShiiAnn,One Person
5,I needed it more than all of you guys.,ShiiAnn,Tribe,A Group
5,"All right, ShiiAnn, turn around. Looks like you're about ready to cry. You doing all right?",Probst,ShiiAnn,
5,I'm doing great they're tears of joy. I knew I was going home tonight and now...,ShiiAnn,Tribe,A Group
5,It most definitely will not be you. Great effort. You are safe tonight at Tribal Council.,Probst,ShiiAnn,
5,Thank you.,ShiiAnn,Probst,
5,Guaranteed a one-in-six shot of winning this thing and the million bucks.,Probst,ShiiAnn,
5,"For the rest of you, I can't say the same thing. Somebody is going home tonight. Tribal Council. I'll see you there. Go back to camp.",Probst,Tribe,
5,I didn't mean to get so excited I wasn't trying to gloat. I was just... Really wanted to win.,ShiiAnn,Tribe,A Group
5,Everybody gets excited when they win immunity or reward.,Jenna,ShiiAnn,One Person
