"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"175","Alicia","Amber",4,4,"Friend",0.5,"Alicia","Amber","AliciaAmber",0.081375726
"176","Alicia","Amber",4,5,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"177","Alicia","Amber",4,6,"Win",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"178","Alicia","Amber",4,7,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"179","Alicia","Amber",4,8,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"180","Alicia","Amber",4,9,"Win",0,"Alicia","Amber","AliciaAmber",0.081375726
"181","Alicia","Amber",4,10,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"182","Alicia","Amber",4,11,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"183","Alicia","Amber",4,12,"Friend",1,"Alicia","Amber","AliciaAmber",0.081375726
"184","Alicia","Amber",4,13,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"185","Alicia","Amber",4,14,"Win",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"186","Alicia","Amber",4,15,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.081375726
"187","Alicia","Amber",4,16,"Friend",0.5,"Alicia","Amber","AliciaAmber",0.081375726
"188","Alicia","Amber",4,18,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"189","Alicia","Amber",4,19,"Rival",0.8,"Alicia","Amber","AliciaAmber",0.081375726
"190","Alicia","Amber",4,20,"Friend",0,"Alicia","Amber","AliciaAmber",0.081375726
"191","Alicia","Amber",4,21,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"192","Alicia","Amber",4,22,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"193","Alicia","Amber",4,23,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"194","Alicia","Amber",4,24,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.081375726
"195","Alicia","Amber",4,25,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"196","Alicia","Amber",4,26,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.081375726
"197","Alicia","Amber",4,27,"Win",0,"Alicia","Amber","AliciaAmber",0.081375726
"198","Alicia","Amber",4,28,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"199","Alicia","Amber",4,30,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"200","Alicia","Amber",4,31,"Friend",0.333333333333333,"Alicia","Amber","AliciaAmber",0.081375726
"201","Alicia","Amber",4,32,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.081375726
