"Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","speaker.sentiment","speaker.clout","overall.sentiment","recent.sentiment","cumulative.sentiment","overall.clout","recent.clout","cumulative.clout","recent.similarity","mean.wordcount"
"Alicia","Amber",2,25,"Win",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,59,"Win",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",3,1,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,2,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,3,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,4,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,5,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,6,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,7,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,8,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,9,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,10,"Rival",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,11,"Rival",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,12,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,13,"Friend",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,14,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,15,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,16,"Rival",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,18,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,19,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,20,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,21,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,22,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,23,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,24,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,25,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,26,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,27,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,28,"Win",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,30,"Rival",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,31,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,32,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,33,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,34,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,35,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,36,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,37,"Win",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,39,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,40,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,41,"Rival",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,42,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,43,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,44,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,45,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,46,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,47,"Friend",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,48,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,49,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,50,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,51,"Friend",0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,52,"Win",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,53,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,54,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,55,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,56,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,57,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,58,"Friend",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,59,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",3,60,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,1,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,2,"Rival",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,3,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,4,"Friend",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,5,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,6,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,7,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,8,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,9,"Win",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,10,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,11,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,12,"Friend",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,13,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,14,"Win",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,15,"Rival",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,16,"Friend",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,18,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,19,"Rival",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,20,"Friend",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,21,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,22,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,23,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,24,"Friend",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,25,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,26,"Rival",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,27,"Win",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,28,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,30,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,31,"Friend",0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,32,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,33,"Win",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,34,"Rival",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,35,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,36,"Friend",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,37,"Friend",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,39,"Rival",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,40,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,41,"Rival",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,42,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,43,"Friend",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,44,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,45,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,46,"Win",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,47,"Win",0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,48,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,49,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,50,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,51,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,52,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,53,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,54,"Rival",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,55,"Rival",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,56,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,57,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,58,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,59,"Friend",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",4,60,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",5,1,"Friend",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",5,2,"Friend",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",5,3,"Rival",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",5,4,"Friend",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",5,5,"Friend",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
